Sector,Index,Price,Return_20D_Pct,Return_60D_Pct,Sector_Score
Pharma,^CNXPHARMA,26579.25,1.008783265316615,6.359759947241295,55.2
IT,^CNXIT,29155.599609375,-4.197578419124659,7.935527907466078,45.57
Bank,^NSEBANK,56055.75,-2.068492612214412,-1.9725883664502564,44.88
