Yahoo_Symbol,Reason
HBPOR.NS,insufficient or invalid OHLCV
HEGAM.NS,insufficient or invalid OHLCV
HEROMOTORS.NS,insufficient or invalid OHLCV
HEXAGON.NS,insufficient or invalid OHLCV
HINDADH.NS,insufficient or invalid OHLCV
HINDALUMI.NS,insufficient or invalid OHLCV
HORIZONIND.NS,insufficient or invalid OHLCV
HRYNSHP.NS,insufficient or invalid OHLCV
HTEL.NS,insufficient or invalid OHLCV
ICICIAMC.NS,insufficient or invalid OHLCV
INA.NS,insufficient or invalid OHLCV
INDOKEM.NS,insufficient or invalid OHLCV
INDOMIM.NS,insufficient or invalid OHLCV
INDPRUD.NS,insufficient or invalid OHLCV
INNOVISION.NS,insufficient or invalid OHLCV
INVPRECQ.NS,insufficient or invalid OHLCV
IPRINGLTD.NS,insufficient or invalid OHLCV
ISTLTD.NS,insufficient or invalid OHLCV
ITL.NS,insufficient or invalid OHLCV
IWP.NS,insufficient or invalid OHLCV
JAYKAY.NS,insufficient or invalid OHLCV
JENBURPH.NS,insufficient or invalid OHLCV
JNPR.NS,insufficient or invalid OHLCV
JSIPL.NS,insufficient or invalid OHLCV
JYOTIRES.NS,insufficient or invalid OHLCV
KAMAHOLD.NS,insufficient or invalid OHLCV
KAMANWALA.NS,insufficient or invalid OHLCV
KANCHI.NS,insufficient or invalid OHLCV
KANCOTEA.NS,insufficient or invalid OHLCV
KANOHAR.NS,insufficient or invalid OHLCV
KARAMTARA.NS,insufficient or invalid OHLCV
KDGREEN.NS,insufficient or invalid OHLCV
KENNAMET.NS,insufficient or invalid OHLCV
KIRANVYPAR.NS,insufficient or invalid OHLCV
KIRLFER.NS,insufficient or invalid OHLCV
KISSHT.NS,insufficient or invalid OHLCV
KJMCFIN.NS,insufficient or invalid OHLCV
KLBRENG-B.NS,insufficient or invalid OHLCV
KMCSHIL.NS,insufficient or invalid OHLCV
KNACK.NS,insufficient or invalid OHLCV
KOTIC.NS,insufficient or invalid OHLCV
KOVAI.NS,insufficient or invalid OHLCV
KPL.NS,insufficient or invalid OHLCV
KSE.NS,insufficient or invalid OHLCV
KSHINTL.NS,insufficient or invalid OHLCV
KSR.NS,insufficient or invalid OHLCV
KUSUMGAR.NS,insufficient or invalid OHLCV
KWIL.NS,insufficient or invalid OHLCV
LADDERUP.NS,insufficient or invalid OHLCV
LAHOTIOV.NS,insufficient or invalid OHLCV
LAKSHMIMIL.NS,insufficient or invalid OHLCV
LALITHAA.NS,insufficient or invalid OHLCV
LANCER.NS,insufficient or invalid OHLCV
LASERPOWER.NS,insufficient or invalid OHLCV
LCCPROJECT.NS,insufficient or invalid OHLCV
LCL.NS,insufficient or invalid OHLCV
LEAPIND.NS,insufficient or invalid OHLCV
LEENEE.NS,insufficient or invalid OHLCV
LKPSEC.NS,insufficient or invalid OHLCV
LOTUSCHO.NS,insufficient or invalid OHLCV
LUMINO.NS,insufficient or invalid OHLCV
MADHAVIPL.NS,insufficient or invalid OHLCV
MAFATIND.NS,insufficient or invalid OHLCV
MAJESAUT.NS,insufficient or invalid OHLCV
MAKERSL.NS,insufficient or invalid OHLCV
MANIKA.NS,insufficient or invalid OHLCV
MANIPALHOS.NS,insufficient or invalid OHLCV
MARSONS.NS,insufficient or invalid OHLCV
MCCHRLS-B.NS,insufficient or invalid OHLCV
MEDICAPQ.NS,insufficient or invalid OHLCV
MEESHO.NS,insufficient or invalid OHLCV
MENNPIS.NS,insufficient or invalid OHLCV
MERCANTILE.NS,insufficient or invalid OHLCV
MERCURYEV.NS,insufficient or invalid OHLCV
METROGLOBL.NS,insufficient or invalid OHLCV
MIIL.NS,insufficient or invalid OHLCV
MILKYMIST.NS,insufficient or invalid OHLCV
MINALIND.NS,insufficient or invalid OHLCV
MKEXIM.NS,insufficient or invalid OHLCV
MLKFOOD.NS,insufficient or invalid OHLCV
MMWL.NS,insufficient or invalid OHLCV
MODINATUR.NS,insufficient or invalid OHLCV
MODIS.NS,insufficient or invalid OHLCV
MOHITE.NS,insufficient or invalid OHLCV
MOLBIO.NS,insufficient or invalid OHLCV
MOMSBELIEF.NS,insufficient or invalid OHLCV
MPDL.NS,insufficient or invalid OHLCV
MPIMANIPAL.NS,insufficient or invalid OHLCV
MSL.NS,insufficient or invalid OHLCV
MUKESHB.NS,insufficient or invalid OHLCV
MVELECTRO.NS,insufficient or invalid OHLCV
MYSORPETRO.NS,insufficient or invalid OHLCV
NATIONSTD.NS,insufficient or invalid OHLCV
NEAGI.NS,insufficient or invalid OHLCV
NEPHROPLUS.NS,insufficient or invalid OHLCV
NICCOPAR.NS,insufficient or invalid OHLCV
NILE.NS,insufficient or invalid OHLCV
NIMBSPROJ.NS,insufficient or invalid OHLCV
NIRLON.NS,insufficient or invalid OHLCV
NITTAGELA.NS,insufficient or invalid OHLCV
NOVARTIND.NS,insufficient or invalid OHLCV
NTCIND.NS,insufficient or invalid OHLCV
ODYCORP.NS,insufficient or invalid OHLCV
OMNI.NS,insufficient or invalid OHLCV
OMPOWER.NS,insufficient or invalid OHLCV
ONEGLOBAL.NS,insufficient or invalid OHLCV
ONIXSOLAR.NS,insufficient or invalid OHLCV
OPTIFIN.NS,insufficient or invalid OHLCV
ORIRAIL.NS,insufficient or invalid OHLCV
PACIFICI.NS,insufficient or invalid OHLCV
PANCHMAHQ.NS,insufficient or invalid OHLCV
PANORAMA.NS,insufficient or invalid OHLCV
PARKHOSPS.NS,insufficient or invalid OHLCV
PARNAXLAB.NS,insufficient or invalid OHLCV
PAUSHAKLTD.NS,insufficient or invalid OHLCV
PBMPOLY.NS,insufficient or invalid OHLCV
PERMAGN.NS,insufficient or invalid OHLCV
PERNIASPOP.NS,insufficient or invalid OHLCV
PHOENXINTL.NS,insufficient or invalid OHLCV
PINELABS.NS,insufficient or invalid OHLCV
PIONRINV.NS,insufficient or invalid OHLCV
PML.NS,insufficient or invalid OHLCV
