Open,High,Low,Close,Volume,Previous_Close,Daily_Return_Pct,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Percent,Average_Volume_20,Volume_Ratio,52W_High,52W_Low,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Distance_From_200DMA_Pct,Above_200DMA,Support,Resistance,Trend,Momentum,Breakout_Status,symbol,yahoo_symbol,company_name,fundamental_score,fundamental_status,sector_adjustment,sector_score,sector_index,technical_score,setup,market_adjustment,overall_score,risk_reward,setup_reasons,technical_rank,rank
15.350000381469727,16.399999618530273,15.0,16.290000915527344,42406012.0,15.359999656677246,6.054695830971646,15.29700002670288,16.26859998703003,15.311099996566773,15.778249988555908,15.567109056706336,15.584754524294393,15.745845745252526,69.02356696938034,0.5614287512642997,3.4464623677777433,11742551.9,3.611311439040776,20.5,12.920000076293945,-20.536580899866618,26.08359767285753,3.2433947195830517,True,14.84000015258789,16.25,Uptrend,Positive,Confirmed Breakout,CCAVENUE,CCAVENUE.NS,AvenuesAI Limited,,Unavailable,0,60,,92.0,Strong Breakout Watch,-5,87.0,-0.02758682377949483,Price is in an uptrend | Positive momentum | Confirmed price breakout | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA,6,6
194.4199981689453,220.22000122070312,193.2100067138672,209.6999969482422,18106631.0,194.67999267578125,7.715227469458119,194.7275016784668,202.7738003540039,202.0400003051758,205.7530004119873,196.64999687253882,196.48258366399713,199.22725441976976,67.66860546198839,6.896427699497768,3.2887113971679898,1499999.95,12.071087735702925,324.75,151.4600067138672,-35.427252671826885,38.45238852022494,1.9183178511864518,True,184.05999755859375,207.8000030517578,Sideways,Strong Positive,Confirmed Breakout,MOBIKWIK,MOBIKWIK.NS,One Mobikwik Systems Limited,,Unavailable,0,60,,90.0,Strong Breakout Watch,-5,85.0,-0.07410272783592398,Strong positive momentum | Confirmed price breakout | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,9,11
57.959999084472656,69.33000183105469,54.619998931884766,66.81999969482422,2056842.0,57.779998779296875,15.645554009195406,57.52799987792969,60.20959976196289,62.903800086975096,64.54072505950927,58.2775877672018,58.19028664656456,60.00127431754437,68.02812327232328,4.505714961460659,6.743063427175779,143265.9,14.35681484568205,92.5,43.70000076293945,-27.762162492081927,52.90617512183681,3.5315293300677375,True,51.349998474121094,63.75,Sideways,Strong Positive,Confirmed Breakout,VGL,VGL.NS,VARVEE GLOBAL LIMITED,,Unavailable,0,60,,90.0,Strong Breakout Watch,-5,85.0,-0.19844857482724132,Strong positive momentum | Confirmed price breakout | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA,9,11
3164.5,3172.0,3143.10009765625,3155.10009765625,31176.0,3179.699951171875,-0.7736532972728694,3139.139990234375,3066.9139990234376,3068.7830053710936,3066.6345068359374,3160.4865575203885,3136.492261956289,3101.070097803015,61.22450828372259,57.614222935267854,1.8260664052486413,18084.9,1.723869084153078,3745.0,2667.0,-15.751666284212282,18.301465978862016,2.884777779129238,True,3066.699951171875,3214.0,Strong Uptrend,Positive,Near Breakout,JSWDULUX,JSWDULUX.NS,JSW Dulux Limited,,Unavailable,0,60,,87.0,Momentum Watch,-3,84.0,0.6662873839712555,Strong price trend | Positive momentum | Price is close to resistance | Strong volume confirmation | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,24,15
246.85000610351562,255.0,242.41000366210938,251.13999938964844,179922.0,246.9600067138672,1.692578782857046,233.55299911499023,230.4343994140625,234.28109970092774,241.52574981689452,241.52133294704493,236.5665923047616,233.3689664244175,83.651903015971,7.748571123395648,3.085359218852905,59715.05,3.0130092832543887,293.1099853515625,209.9600067138672,-14.318852328273412,19.613255552949763,3.980631290884171,True,225.10000610351562,250.19000244140625,Sideways,Strong Positive,Confirmed Breakout,SESHAPAPER,SESHAPAPER.NS,Seshasayee Paper and Boards Limited,,Unavailable,0,60,,81.0,Strong Breakout Watch,-5,76.0,-0.036482227080607325,Strong positive momentum | Confirmed price breakout | Volume is more than 2x average | RSI indicates overbought conditions | Price is above 200 DMA,45,58
336.6000061035156,340.95001220703125,336.6000061035156,339.04998779296875,422556.0,337.29998779296875,0.5188259897222824,336.43999633789065,336.97099853515624,337.85999908447263,328.0308988189697,338.11868287770733,337.25390681340525,336.5761006916337,56.64061149582589,4.171439034598214,1.2303315690267433,289661.1,1.4587944325282203,411.29998779296875,240.39999389648438,-17.566253864409944,41.03577221343974,3.3591619001965216,True,332.8999938964844,342.79998779296875,Uptrend,Positive,Near Breakout,IIFLCAPS,IIFLCAPS.NS,IIFL Capital Services Limited,,Unavailable,0,60,,79.0,Momentum Watch,-3,76.0,0.609756702708872,Price is in an uptrend | Positive momentum | Price is close to resistance | Volume is above average | RSI supports positive momentum | Price is above 200 DMA,59,58
125.30000305175781,126.5,124.0,125.5,31941.0,126.30999755859375,-0.6412774714986469,123.20000038146972,124.65519989013671,124.14919982910156,124.3540998840332,124.09419103712855,123.80864985043007,123.82010721870768,59.46453745929973,3.9021432059151784,3.1092774549124926,15466.5,2.065173116089613,159.99000549316406,93.0,-21.55760004310877,34.946236559139784,0.9214815732134356,True,119.48999786376953,129.49000549316406,Uptrend,Positive,No Breakout,VRAJ,VRAJ.NS,Vraj Iron and Steel Limited,,Unavailable,0,60,,78.0,Momentum Watch,-3,75.0,0.6638941888407768,Price is in an uptrend | Positive momentum | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,67,67
3297.199951171875,3319.800048828125,3210.10009765625,3302.39990234375,43706.0,3297.199951171875,0.15770809319668455,3174.540002441406,3185.4000048828125,3375.843996582031,3284.987001953125,3197.5709228781498,3186.7870820505145,3233.3334770436823,69.18151020730613,83.73573521205357,2.535602522051475,33932.55,1.2880258041320207,3925.0,2800.5,-15.86242287022293,17.9217961915283,0.5300751686466956,True,3069.5,3324.699951171875,Sideways,Strong Positive,Near Breakout,TIMKEN,TIMKEN.NS,Timken India Limited,,Unavailable,0,60,,77.0,200 DMA Recovery Watch,-2,75.0,0.09574949840559019,Strong positive momentum | Price is close to resistance | Volume is above average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,82,67
436.0,439.95001220703125,425.1000061035156,437.25,91968.0,441.1499938964844,-0.884051671867303,414.82750244140624,437.92000061035156,421.86500061035156,422.3497496032715,422.1094401890283,420.39816161524027,424.6903972596593,64.67155691090414,12.185712541852679,2.7868982371304014,62240.05,1.4776337743944614,701.5,331.70001220703125,-37.66928011404134,31.820917669152664,3.527941098751649,True,397.20001220703125,444.29998779296875,Sideways,Strong Positive,Near Breakout,TSFINV,TSFINV.NS,TSF INVESTMENTS LIMITED,,Unavailable,0,60,,77.0,200 DMA Recovery Watch,-2,75.0,0.17602971140496723,Strong positive momentum | Price is close to resistance | Volume is above average | RSI supports positive momentum | Price is above 200 DMA,82,67
10.789999961853027,11.479999542236328,10.1899995803833,11.199999809265137,371208.0,10.6899995803833,4.770816173068071,10.234999990463256,10.285599994659425,11.192899990081788,10.907349996566772,10.514457753609332,10.351839565011108,10.460975949173298,69.93242122118639,0.8292858260018485,7.404337858254484,75707.6,4.903180129868071,14.300000190734863,9.020000457763672,-21.67832405679444,24.168505996306255,2.6830514542072987,True,9.359999656677246,11.880000114440918,Sideways,Strong Positive,No Breakout,LIBAS,LIBAS.NS,Libas Consumer Products Limited,,Unavailable,0,60,,76.0,200 DMA Recovery Watch,-2,74.0,0.3695653526003172,Strong positive momentum | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,86,81
1208.300048828125,1237.699951171875,1181.0,1226.699951171875,1813.0,1228.9000244140625,-0.17902784591744547,1213.5999938964844,1217.7279931640626,1217.7539978027344,1211.1357479858398,1221.6994954364018,1218.784042578242,1219.4761710839568,55.10850298131982,40.642857142857146,3.3131864971569245,929.9,1.949672007742768,1457.5999755859375,950.0,-15.841110612069235,29.12631064967105,1.2850915524472821,True,1140.4000244140625,1260.4000244140625,Uptrend,Positive,No Breakout,APOLSINHOT,APOLSINHOT.NS,Apollo Sindoori Hotels Limited,,Unavailable,0,60,,76.0,Momentum Watch,-3,73.0,0.3904994419840191,Price is in an uptrend | Positive momentum | Strong volume confirmation | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,86,93
140.77999877929688,142.6199951171875,135.8000030517578,140.52999877929688,16480.0,140.77999877929688,-0.177582044443636,135.17250137329103,138.31260131835938,139.3071002960205,134.27525005340576,137.76395667911137,136.67411319470258,137.51461063901294,64.30375991433459,3.6678575788225447,2.6100175127610545,11493.0,1.4339162968763595,274.79998779296875,95.30000305175781,-48.86098798331439,47.4606445741397,4.658154591708745,True,131.0,144.72999572753906,Uptrend,Strong Positive,No Breakout,CYBERTECH,CYBERTECH.NS,Cybertech Systems And Software Limited,,Unavailable,0,60,,76.0,Momentum Watch,-3,73.0,0.44071327242625985,Price is in an uptrend | Strong positive momentum | Volume is above average | RSI supports positive momentum | Price is above 200 DMA,86,93
